2026-04-06T12:22:10 | INFO     | GPS-D2               | Sensor iniciado | intersección=INT-D2 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-D2               | [Publicado] velocidad=  9.6 km/h | nivel=ALTA
2026-04-06T12:31:20 | INFO     | GPS-D2               | [Publicado] velocidad= 23.1 km/h | nivel=NORMAL
2026-04-06T12:31:30 | INFO     | GPS-D2               | [Publicado] velocidad= 32.1 km/h | nivel=NORMAL
2026-04-06T12:31:40 | INFO     | GPS-D2               | [Publicado] velocidad= 41.0 km/h | nivel=BAJA
2026-04-06T12:31:50 | INFO     | GPS-D2               | [Publicado] velocidad= 30.7 km/h | nivel=NORMAL
2026-04-06T12:32:00 | INFO     | GPS-D2               | [Publicado] velocidad= 28.9 km/h | nivel=NORMAL
2026-04-06T12:32:10 | INFO     | GPS-D2               | [Publicado] velocidad= 27.4 km/h | nivel=NORMAL
2026-04-06T12:32:20 | INFO     | GPS-D2               | [Publicado] velocidad= 25.8 km/h | nivel=NORMAL
2026-04-06T12:32:30 | INFO     | GPS-D2               | [Publicado] velocidad= 13.2 km/h | nivel=NORMAL
2026-04-06T12:32:40 | INFO     | GPS-D2               | [Publicado] velocidad= 38.6 km/h | nivel=NORMAL
2026-04-06T12:32:50 | INFO     | GPS-D2               | [Publicado] velocidad= 16.6 km/h | nivel=NORMAL
2026-04-06T12:33:00 | INFO     | GPS-D2               | [Publicado] velocidad= 42.2 km/h | nivel=BAJA
2026-04-06T12:33:10 | INFO     | GPS-D2               | [Publicado] velocidad= 14.2 km/h | nivel=NORMAL
2026-04-06T12:33:20 | INFO     | GPS-D2               | [Publicado] velocidad= 36.5 km/h | nivel=NORMAL
2026-04-06T12:33:30 | INFO     | GPS-D2               | [Publicado] velocidad= 34.9 km/h | nivel=NORMAL
2026-04-06T12:33:40 | INFO     | GPS-D2               | [Publicado] velocidad= 50.0 km/h | nivel=BAJA
2026-04-06T12:33:50 | INFO     | GPS-D2               | [Publicado] velocidad= 42.6 km/h | nivel=BAJA
2026-04-06T12:34:00 | INFO     | GPS-D2               | [Publicado] velocidad= 34.2 km/h | nivel=NORMAL
2026-04-06T12:34:10 | INFO     | GPS-D2               | [Publicado] velocidad= 16.8 km/h | nivel=NORMAL
2026-04-06T12:34:20 | INFO     | GPS-D2               | [Publicado] velocidad= 35.6 km/h | nivel=NORMAL
2026-04-06T12:34:31 | INFO     | GPS-D2               | [Publicado] velocidad= 32.1 km/h | nivel=NORMAL
2026-04-06T12:34:41 | INFO     | GPS-D2               | [Publicado] velocidad= 40.6 km/h | nivel=BAJA
2026-04-06T12:34:51 | INFO     | GPS-D2               | [Publicado] velocidad= 33.6 km/h | nivel=NORMAL
2026-04-06T12:35:01 | INFO     | GPS-D2               | [Publicado] velocidad= 15.1 km/h | nivel=NORMAL
2026-04-06T12:35:11 | INFO     | GPS-D2               | [Publicado] velocidad= 29.8 km/h | nivel=NORMAL
2026-04-06T12:35:21 | INFO     | GPS-D2               | [Publicado] velocidad= 27.2 km/h | nivel=NORMAL
2026-04-06T12:35:31 | INFO     | GPS-D2               | [Publicado] velocidad= 31.8 km/h | nivel=NORMAL
2026-04-06T12:35:41 | INFO     | GPS-D2               | [Publicado] velocidad= 36.5 km/h | nivel=NORMAL
2026-04-06T12:35:51 | INFO     | GPS-D2               | [Publicado] velocidad= 26.0 km/h | nivel=NORMAL
2026-04-06T12:36:01 | INFO     | GPS-D2               | [Publicado] velocidad= 16.7 km/h | nivel=NORMAL
2026-04-06T12:36:11 | INFO     | GPS-D2               | [Publicado] velocidad= 31.7 km/h | nivel=NORMAL
2026-04-06T12:36:21 | INFO     | GPS-D2               | [Publicado] velocidad= 38.3 km/h | nivel=NORMAL
2026-04-06T12:36:31 | INFO     | GPS-D2               | [Publicado] velocidad= 17.7 km/h | nivel=NORMAL
2026-04-06T12:36:41 | INFO     | GPS-D2               | [Publicado] velocidad= 20.3 km/h | nivel=NORMAL
2026-04-06T12:36:51 | INFO     | GPS-D2               | [Publicado] velocidad= 37.5 km/h | nivel=NORMAL
2026-04-06T12:37:01 | INFO     | GPS-D2               | [Publicado] velocidad= 40.8 km/h | nivel=BAJA
2026-04-06T12:37:11 | INFO     | GPS-D2               | [Publicado] velocidad= 19.8 km/h | nivel=NORMAL
2026-04-06T12:37:21 | INFO     | GPS-D2               | [Publicado] velocidad= 19.9 km/h | nivel=NORMAL
2026-04-06T12:37:31 | INFO     | GPS-D2               | [Publicado] velocidad= 23.7 km/h | nivel=NORMAL
2026-04-06T12:37:41 | INFO     | GPS-D2               | [Publicado] velocidad= 12.6 km/h | nivel=NORMAL
2026-04-06T12:37:51 | INFO     | GPS-D2               | [Publicado] velocidad= 22.5 km/h | nivel=NORMAL
2026-04-06T12:38:01 | INFO     | GPS-D2               | [Publicado] velocidad= 32.3 km/h | nivel=NORMAL
2026-04-06T12:38:11 | INFO     | GPS-D2               | [Publicado] velocidad= 16.0 km/h | nivel=NORMAL
2026-04-06T12:38:21 | INFO     | GPS-D2               | [Publicado] velocidad= 24.4 km/h | nivel=NORMAL
2026-04-06T12:38:31 | INFO     | GPS-D2               | [Publicado] velocidad= 21.5 km/h | nivel=NORMAL
2026-04-06T12:38:41 | INFO     | GPS-D2               | [Publicado] velocidad= 21.9 km/h | nivel=NORMAL
2026-04-06T12:38:51 | INFO     | GPS-D2               | [Publicado] velocidad= 40.7 km/h | nivel=BAJA
2026-04-06T12:39:01 | INFO     | GPS-D2               | [Publicado] velocidad= 28.0 km/h | nivel=NORMAL
2026-04-06T12:39:11 | INFO     | GPS-D2               | [Publicado] velocidad=  6.8 km/h | nivel=ALTA
2026-04-06T12:39:21 | INFO     | GPS-D2               | [Publicado] velocidad= 39.5 km/h | nivel=BAJA
2026-04-06T12:39:31 | INFO     | GPS-D2               | [Publicado] velocidad= 23.2 km/h | nivel=NORMAL
2026-04-06T12:39:41 | INFO     | GPS-D2               | [Publicado] velocidad= 29.6 km/h | nivel=NORMAL
2026-04-06T12:39:51 | INFO     | GPS-D2               | [Publicado] velocidad= 22.4 km/h | nivel=NORMAL
2026-04-06T12:40:01 | INFO     | GPS-D2               | [Publicado] velocidad= 18.7 km/h | nivel=NORMAL
2026-04-06T12:40:11 | INFO     | GPS-D2               | [Publicado] velocidad=  9.5 km/h | nivel=ALTA
2026-04-06T12:40:21 | INFO     | GPS-D2               | [Publicado] velocidad= 33.1 km/h | nivel=NORMAL
2026-04-06T12:40:31 | INFO     | GPS-D2               | [Publicado] velocidad= 36.8 km/h | nivel=NORMAL
2026-04-06T12:40:41 | INFO     | GPS-D2               | [Publicado] velocidad= 31.5 km/h | nivel=NORMAL
2026-04-06T12:40:51 | INFO     | GPS-D2               | [Publicado] velocidad= 37.6 km/h | nivel=NORMAL
2026-04-06T12:41:01 | INFO     | GPS-D2               | [Publicado] velocidad= 10.9 km/h | nivel=NORMAL
2026-04-06T12:41:11 | INFO     | GPS-D2               | [Publicado] velocidad= 41.6 km/h | nivel=BAJA
2026-04-06T12:41:21 | INFO     | GPS-D2               | [Publicado] velocidad= 40.4 km/h | nivel=BAJA
2026-04-06T12:41:31 | INFO     | GPS-D2               | [Publicado] velocidad= 23.4 km/h | nivel=NORMAL
