2026-04-06T12:22:10 | INFO     | GPS-A5               | Sensor iniciado | intersección=INT-A5 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-A5               | [Publicado] velocidad= 41.9 km/h | nivel=BAJA
2026-04-06T12:32:51 | INFO     | GPS-A5               | [Publicado] velocidad= 31.0 km/h | nivel=NORMAL
2026-04-06T12:33:01 | INFO     | GPS-A5               | [Publicado] velocidad=  7.6 km/h | nivel=ALTA
2026-04-06T12:33:11 | INFO     | GPS-A5               | [Publicado] velocidad= 16.4 km/h | nivel=NORMAL
2026-04-06T12:33:21 | INFO     | GPS-A5               | [Publicado] velocidad= 30.8 km/h | nivel=NORMAL
2026-04-06T12:33:31 | INFO     | GPS-A5               | [Publicado] velocidad= 20.5 km/h | nivel=NORMAL
2026-04-06T12:33:41 | INFO     | GPS-A5               | [Publicado] velocidad= 17.3 km/h | nivel=NORMAL
2026-04-06T12:33:51 | INFO     | GPS-A5               | [Publicado] velocidad= 31.4 km/h | nivel=NORMAL
2026-04-06T12:34:01 | INFO     | GPS-A5               | [Publicado] velocidad= 17.2 km/h | nivel=NORMAL
2026-04-06T12:34:11 | INFO     | GPS-A5               | [Publicado] velocidad= 20.6 km/h | nivel=NORMAL
2026-04-06T12:34:21 | INFO     | GPS-A5               | [Publicado] velocidad= 20.0 km/h | nivel=NORMAL
2026-04-06T12:34:31 | INFO     | GPS-A5               | [Publicado] velocidad= 28.4 km/h | nivel=NORMAL
2026-04-06T12:34:41 | INFO     | GPS-A5               | [Publicado] velocidad= 31.3 km/h | nivel=NORMAL
2026-04-06T12:34:51 | INFO     | GPS-A5               | [Publicado] velocidad= 39.0 km/h | nivel=NORMAL
2026-04-06T12:35:01 | INFO     | GPS-A5               | [Publicado] velocidad= 10.8 km/h | nivel=NORMAL
2026-04-06T12:35:11 | INFO     | GPS-A5               | [Publicado] velocidad= 20.7 km/h | nivel=NORMAL
2026-04-06T12:35:21 | INFO     | GPS-A5               | [Publicado] velocidad= 32.2 km/h | nivel=NORMAL
2026-04-06T12:35:31 | INFO     | GPS-A5               | [Publicado] velocidad= 33.9 km/h | nivel=NORMAL
2026-04-06T12:35:41 | INFO     | GPS-A5               | [Publicado] velocidad= 35.9 km/h | nivel=NORMAL
2026-04-06T12:35:51 | INFO     | GPS-A5               | [Publicado] velocidad= 27.5 km/h | nivel=NORMAL
2026-04-06T12:36:01 | INFO     | GPS-A5               | [Publicado] velocidad= 30.3 km/h | nivel=NORMAL
2026-04-06T12:36:11 | INFO     | GPS-A5               | [Publicado] velocidad= 28.7 km/h | nivel=NORMAL
2026-04-06T12:36:21 | INFO     | GPS-A5               | [Publicado] velocidad= 28.0 km/h | nivel=NORMAL
2026-04-06T12:36:31 | INFO     | GPS-A5               | [Publicado] velocidad= 50.0 km/h | nivel=BAJA
2026-04-06T12:36:41 | INFO     | GPS-A5               | [Publicado] velocidad= 20.8 km/h | nivel=NORMAL
2026-04-06T12:36:51 | INFO     | GPS-A5               | [Publicado] velocidad= 22.1 km/h | nivel=NORMAL
2026-04-06T12:37:01 | INFO     | GPS-A5               | [Publicado] velocidad=  6.8 km/h | nivel=ALTA
2026-04-06T12:37:11 | INFO     | GPS-A5               | [Publicado] velocidad= 36.7 km/h | nivel=NORMAL
2026-04-06T12:37:21 | INFO     | GPS-A5               | [Publicado] velocidad= 35.7 km/h | nivel=NORMAL
2026-04-06T12:37:31 | INFO     | GPS-A5               | [Publicado] velocidad= 28.0 km/h | nivel=NORMAL
2026-04-06T12:37:41 | INFO     | GPS-A5               | [Publicado] velocidad= 35.8 km/h | nivel=NORMAL
2026-04-06T12:37:51 | INFO     | GPS-A5               | [Publicado] velocidad= 21.8 km/h | nivel=NORMAL
2026-04-06T12:38:01 | INFO     | GPS-A5               | [Publicado] velocidad= 24.8 km/h | nivel=NORMAL
2026-04-06T12:38:11 | INFO     | GPS-A5               | [Publicado] velocidad= 14.8 km/h | nivel=NORMAL
2026-04-06T12:38:21 | INFO     | GPS-A5               | [Publicado] velocidad= 39.0 km/h | nivel=NORMAL
2026-04-06T12:38:31 | INFO     | GPS-A5               | [Publicado] velocidad= 21.8 km/h | nivel=NORMAL
2026-04-06T12:38:41 | INFO     | GPS-A5               | [Publicado] velocidad= 19.0 km/h | nivel=NORMAL
2026-04-06T12:38:51 | INFO     | GPS-A5               | [Publicado] velocidad= 22.1 km/h | nivel=NORMAL
2026-04-06T12:39:01 | INFO     | GPS-A5               | [Publicado] velocidad= 45.1 km/h | nivel=BAJA
2026-04-06T12:39:11 | INFO     | GPS-A5               | [Publicado] velocidad= 24.5 km/h | nivel=NORMAL
2026-04-06T12:39:21 | INFO     | GPS-A5               | [Publicado] velocidad= 44.1 km/h | nivel=BAJA
2026-04-06T12:39:31 | INFO     | GPS-A5               | [Publicado] velocidad= 28.4 km/h | nivel=NORMAL
2026-04-06T12:39:41 | INFO     | GPS-A5               | [Publicado] velocidad= 30.0 km/h | nivel=NORMAL
2026-04-06T12:39:51 | INFO     | GPS-A5               | [Publicado] velocidad= 39.3 km/h | nivel=BAJA
2026-04-06T12:40:01 | INFO     | GPS-A5               | [Publicado] velocidad= 11.2 km/h | nivel=NORMAL
2026-04-06T12:40:11 | INFO     | GPS-A5               | [Publicado] velocidad= 18.3 km/h | nivel=NORMAL
2026-04-06T12:40:21 | INFO     | GPS-A5               | [Publicado] velocidad= 33.8 km/h | nivel=NORMAL
2026-04-06T12:40:31 | INFO     | GPS-A5               | [Publicado] velocidad= 34.5 km/h | nivel=NORMAL
2026-04-06T12:40:41 | INFO     | GPS-A5               | [Publicado] velocidad= 39.4 km/h | nivel=BAJA
2026-04-06T12:40:51 | INFO     | GPS-A5               | [Publicado] velocidad= 11.2 km/h | nivel=NORMAL
2026-04-06T12:41:01 | INFO     | GPS-A5               | [Publicado] velocidad= 31.1 km/h | nivel=NORMAL
2026-04-06T12:41:11 | INFO     | GPS-A5               | [Publicado] velocidad= 26.6 km/h | nivel=NORMAL
2026-04-06T12:41:21 | INFO     | GPS-A5               | [Publicado] velocidad= 13.3 km/h | nivel=NORMAL
2026-04-06T12:41:31 | INFO     | GPS-A5               | [Publicado] velocidad= 20.5 km/h | nivel=NORMAL
