2026-04-06T12:22:10 | INFO     | GPS-C4               | Sensor iniciado | intersección=INT-C4 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-C4               | [Publicado] velocidad= 23.6 km/h | nivel=NORMAL
2026-04-06T12:29:51 | INFO     | GPS-C4               | [Publicado] velocidad= 50.0 km/h | nivel=BAJA
2026-04-06T12:30:01 | INFO     | GPS-C4               | [Publicado] velocidad= 17.9 km/h | nivel=NORMAL
2026-04-06T12:30:11 | INFO     | GPS-C4               | [Publicado] velocidad= 29.7 km/h | nivel=NORMAL
2026-04-06T12:30:21 | INFO     | GPS-C4               | [Publicado] velocidad= 38.6 km/h | nivel=NORMAL
2026-04-06T12:30:31 | INFO     | GPS-C4               | [Publicado] velocidad= 27.8 km/h | nivel=NORMAL
2026-04-06T12:30:41 | INFO     | GPS-C4               | [Publicado] velocidad= 27.4 km/h | nivel=NORMAL
2026-04-06T12:30:51 | INFO     | GPS-C4               | [Publicado] velocidad= 31.1 km/h | nivel=NORMAL
2026-04-06T12:31:01 | INFO     | GPS-C4               | [Publicado] velocidad= 13.7 km/h | nivel=NORMAL
2026-04-06T12:31:11 | INFO     | GPS-C4               | [Publicado] velocidad= 32.0 km/h | nivel=NORMAL
2026-04-06T12:31:21 | INFO     | GPS-C4               | [Publicado] velocidad= 27.3 km/h | nivel=NORMAL
2026-04-06T12:31:31 | INFO     | GPS-C4               | [Publicado] velocidad= 18.6 km/h | nivel=NORMAL
2026-04-06T12:31:41 | INFO     | GPS-C4               | [Publicado] velocidad= 15.7 km/h | nivel=NORMAL
2026-04-06T12:31:51 | INFO     | GPS-C4               | [Publicado] velocidad= 35.2 km/h | nivel=NORMAL
2026-04-06T12:32:01 | INFO     | GPS-C4               | [Publicado] velocidad= 42.9 km/h | nivel=BAJA
2026-04-06T12:32:11 | INFO     | GPS-C4               | [Publicado] velocidad= 26.9 km/h | nivel=NORMAL
2026-04-06T12:32:21 | INFO     | GPS-C4               | [Publicado] velocidad= 33.0 km/h | nivel=NORMAL
2026-04-06T12:32:31 | INFO     | GPS-C4               | [Publicado] velocidad= 37.5 km/h | nivel=NORMAL
2026-04-06T12:32:41 | INFO     | GPS-C4               | [Publicado] velocidad= 31.6 km/h | nivel=NORMAL
2026-04-06T12:32:51 | INFO     | GPS-C4               | [Publicado] velocidad= 20.8 km/h | nivel=NORMAL
2026-04-06T12:33:01 | INFO     | GPS-C4               | [Publicado] velocidad= 33.3 km/h | nivel=NORMAL
2026-04-06T12:33:11 | INFO     | GPS-C4               | [Publicado] velocidad= 32.5 km/h | nivel=NORMAL
2026-04-06T12:33:21 | INFO     | GPS-C4               | [Publicado] velocidad= 43.7 km/h | nivel=BAJA
2026-04-06T12:33:31 | INFO     | GPS-C4               | [Publicado] velocidad= 39.8 km/h | nivel=BAJA
2026-04-06T12:33:41 | INFO     | GPS-C4               | [Publicado] velocidad= 35.2 km/h | nivel=NORMAL
2026-04-06T12:33:51 | INFO     | GPS-C4               | [Publicado] velocidad= 15.5 km/h | nivel=NORMAL
2026-04-06T12:34:01 | INFO     | GPS-C4               | [Publicado] velocidad= 37.0 km/h | nivel=NORMAL
2026-04-06T12:34:11 | INFO     | GPS-C4               | [Publicado] velocidad= 24.2 km/h | nivel=NORMAL
2026-04-06T12:34:21 | INFO     | GPS-C4               | [Publicado] velocidad= 27.2 km/h | nivel=NORMAL
2026-04-06T12:34:31 | INFO     | GPS-C4               | [Publicado] velocidad= 25.5 km/h | nivel=NORMAL
2026-04-06T12:34:41 | INFO     | GPS-C4               | [Publicado] velocidad= 43.8 km/h | nivel=BAJA
2026-04-06T12:34:51 | INFO     | GPS-C4               | [Publicado] velocidad= 27.9 km/h | nivel=NORMAL
2026-04-06T12:35:01 | INFO     | GPS-C4               | [Publicado] velocidad= 37.2 km/h | nivel=NORMAL
2026-04-06T12:35:11 | INFO     | GPS-C4               | [Publicado] velocidad= 25.1 km/h | nivel=NORMAL
2026-04-06T12:35:21 | INFO     | GPS-C4               | [Publicado] velocidad= 39.3 km/h | nivel=BAJA
2026-04-06T12:35:31 | INFO     | GPS-C4               | [Publicado] velocidad= 38.1 km/h | nivel=NORMAL
2026-04-06T12:35:41 | INFO     | GPS-C4               | [Publicado] velocidad= 25.4 km/h | nivel=NORMAL
2026-04-06T12:35:51 | INFO     | GPS-C4               | [Publicado] velocidad= 44.8 km/h | nivel=BAJA
2026-04-06T12:36:01 | INFO     | GPS-C4               | [Publicado] velocidad= 37.6 km/h | nivel=NORMAL
2026-04-06T12:36:11 | INFO     | GPS-C4               | [Publicado] velocidad=  8.4 km/h | nivel=ALTA
2026-04-06T12:36:21 | INFO     | GPS-C4               | [Publicado] velocidad= 40.8 km/h | nivel=BAJA
2026-04-06T12:36:31 | INFO     | GPS-C4               | [Publicado] velocidad= 30.2 km/h | nivel=NORMAL
2026-04-06T12:36:41 | INFO     | GPS-C4               | [Publicado] velocidad= 41.5 km/h | nivel=BAJA
2026-04-06T12:36:51 | INFO     | GPS-C4               | [Publicado] velocidad= 33.7 km/h | nivel=NORMAL
2026-04-06T12:37:01 | INFO     | GPS-C4               | [Publicado] velocidad= 13.7 km/h | nivel=NORMAL
2026-04-06T12:37:11 | INFO     | GPS-C4               | [Publicado] velocidad= 35.4 km/h | nivel=NORMAL
2026-04-06T12:37:21 | INFO     | GPS-C4               | [Publicado] velocidad= 29.0 km/h | nivel=NORMAL
2026-04-06T12:37:31 | INFO     | GPS-C4               | [Publicado] velocidad= 30.0 km/h | nivel=NORMAL
2026-04-06T12:37:41 | INFO     | GPS-C4               | [Publicado] velocidad= 41.9 km/h | nivel=BAJA
2026-04-06T12:37:51 | INFO     | GPS-C4               | [Publicado] velocidad= 36.3 km/h | nivel=NORMAL
2026-04-06T12:38:01 | INFO     | GPS-C4               | [Publicado] velocidad= 45.1 km/h | nivel=BAJA
2026-04-06T12:38:11 | INFO     | GPS-C4               | [Publicado] velocidad= 32.2 km/h | nivel=NORMAL
2026-04-06T12:38:21 | INFO     | GPS-C4               | [Publicado] velocidad= 27.8 km/h | nivel=NORMAL
2026-04-06T12:38:31 | INFO     | GPS-C4               | [Publicado] velocidad= 10.4 km/h | nivel=NORMAL
2026-04-06T12:38:41 | INFO     | GPS-C4               | [Publicado] velocidad= 28.6 km/h | nivel=NORMAL
2026-04-06T12:38:51 | INFO     | GPS-C4               | [Publicado] velocidad= 43.0 km/h | nivel=BAJA
2026-04-06T12:39:01 | INFO     | GPS-C4               | [Publicado] velocidad= 26.9 km/h | nivel=NORMAL
2026-04-06T12:39:11 | INFO     | GPS-C4               | [Publicado] velocidad= 37.1 km/h | nivel=NORMAL
2026-04-06T12:39:21 | INFO     | GPS-C4               | [Publicado] velocidad= 29.8 km/h | nivel=NORMAL
2026-04-06T12:39:31 | INFO     | GPS-C4               | [Publicado] velocidad= 39.1 km/h | nivel=BAJA
2026-04-06T12:39:41 | INFO     | GPS-C4               | [Publicado] velocidad= 31.7 km/h | nivel=NORMAL
2026-04-06T12:39:51 | INFO     | GPS-C4               | [Publicado] velocidad= 40.0 km/h | nivel=BAJA
2026-04-06T12:40:01 | INFO     | GPS-C4               | [Publicado] velocidad= 36.1 km/h | nivel=NORMAL
2026-04-06T12:40:11 | INFO     | GPS-C4               | [Publicado] velocidad= 37.4 km/h | nivel=NORMAL
2026-04-06T12:40:21 | INFO     | GPS-C4               | [Publicado] velocidad= 40.6 km/h | nivel=BAJA
2026-04-06T12:40:31 | INFO     | GPS-C4               | [Publicado] velocidad= 37.5 km/h | nivel=NORMAL
2026-04-06T12:40:41 | INFO     | GPS-C4               | [Publicado] velocidad= 46.9 km/h | nivel=BAJA
2026-04-06T12:40:51 | INFO     | GPS-C4               | [Publicado] velocidad= 16.7 km/h | nivel=NORMAL
2026-04-06T12:41:01 | INFO     | GPS-C4               | [Publicado] velocidad= 36.4 km/h | nivel=NORMAL
2026-04-06T12:41:11 | INFO     | GPS-C4               | [Publicado] velocidad= 27.5 km/h | nivel=NORMAL
2026-04-06T12:41:21 | INFO     | GPS-C4               | [Publicado] velocidad= 25.4 km/h | nivel=NORMAL
2026-04-06T12:41:31 | INFO     | GPS-C4               | [Publicado] velocidad= 35.0 km/h | nivel=NORMAL
