2026-04-06T12:22:10 | INFO     | GPS-C3               | Sensor iniciado | intersección=INT-C3 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-C3               | [Publicado] velocidad= 22.0 km/h | nivel=NORMAL
2026-04-06T12:29:40 | INFO     | GPS-C3               | [Publicado] velocidad= 23.1 km/h | nivel=NORMAL
2026-04-06T12:29:50 | INFO     | GPS-C3               | [Publicado] velocidad= 23.9 km/h | nivel=NORMAL
2026-04-06T12:30:00 | INFO     | GPS-C3               | [Publicado] velocidad= 27.3 km/h | nivel=NORMAL
2026-04-06T12:30:10 | INFO     | GPS-C3               | [Publicado] velocidad= 22.7 km/h | nivel=NORMAL
2026-04-06T12:30:20 | INFO     | GPS-C3               | [Publicado] velocidad= 12.4 km/h | nivel=NORMAL
2026-04-06T12:30:30 | INFO     | GPS-C3               | [Publicado] velocidad= 36.5 km/h | nivel=NORMAL
2026-04-06T12:30:40 | INFO     | GPS-C3               | [Publicado] velocidad= 12.9 km/h | nivel=NORMAL
2026-04-06T12:30:50 | INFO     | GPS-C3               | [Publicado] velocidad= 26.3 km/h | nivel=NORMAL
2026-04-06T12:31:00 | INFO     | GPS-C3               | [Publicado] velocidad= 18.7 km/h | nivel=NORMAL
2026-04-06T12:31:10 | INFO     | GPS-C3               | [Publicado] velocidad= 27.3 km/h | nivel=NORMAL
2026-04-06T12:31:20 | INFO     | GPS-C3               | [Publicado] velocidad= 24.1 km/h | nivel=NORMAL
2026-04-06T12:31:30 | INFO     | GPS-C3               | [Publicado] velocidad= 36.8 km/h | nivel=NORMAL
2026-04-06T12:31:41 | INFO     | GPS-C3               | [Publicado] velocidad=  8.7 km/h | nivel=ALTA
2026-04-06T12:31:51 | INFO     | GPS-C3               | [Publicado] velocidad= 17.9 km/h | nivel=NORMAL
2026-04-06T12:32:01 | INFO     | GPS-C3               | [Publicado] velocidad= 19.6 km/h | nivel=NORMAL
2026-04-06T12:32:11 | INFO     | GPS-C3               | [Publicado] velocidad= 37.3 km/h | nivel=NORMAL
2026-04-06T12:32:21 | INFO     | GPS-C3               | [Publicado] velocidad= 19.4 km/h | nivel=NORMAL
2026-04-06T12:32:31 | INFO     | GPS-C3               | [Publicado] velocidad= 25.1 km/h | nivel=NORMAL
2026-04-06T12:32:41 | INFO     | GPS-C3               | [Publicado] velocidad= 18.1 km/h | nivel=NORMAL
2026-04-06T12:32:51 | INFO     | GPS-C3               | [Publicado] velocidad= 35.1 km/h | nivel=NORMAL
2026-04-06T12:33:01 | INFO     | GPS-C3               | [Publicado] velocidad= 28.5 km/h | nivel=NORMAL
2026-04-06T12:33:11 | INFO     | GPS-C3               | [Publicado] velocidad= 32.2 km/h | nivel=NORMAL
2026-04-06T12:33:21 | INFO     | GPS-C3               | [Publicado] velocidad= 35.5 km/h | nivel=NORMAL
2026-04-06T12:33:31 | INFO     | GPS-C3               | [Publicado] velocidad= 11.2 km/h | nivel=NORMAL
2026-04-06T12:33:41 | INFO     | GPS-C3               | [Publicado] velocidad= 25.0 km/h | nivel=NORMAL
2026-04-06T12:33:51 | INFO     | GPS-C3               | [Publicado] velocidad= 22.7 km/h | nivel=NORMAL
2026-04-06T12:34:01 | INFO     | GPS-C3               | [Publicado] velocidad= 30.4 km/h | nivel=NORMAL
2026-04-06T12:34:11 | INFO     | GPS-C3               | [Publicado] velocidad= 35.1 km/h | nivel=NORMAL
2026-04-06T12:34:21 | INFO     | GPS-C3               | [Publicado] velocidad= 31.8 km/h | nivel=NORMAL
2026-04-06T12:34:31 | INFO     | GPS-C3               | [Publicado] velocidad= 17.4 km/h | nivel=NORMAL
2026-04-06T12:34:41 | INFO     | GPS-C3               | [Publicado] velocidad= 18.9 km/h | nivel=NORMAL
2026-04-06T12:34:51 | INFO     | GPS-C3               | [Publicado] velocidad= 24.2 km/h | nivel=NORMAL
2026-04-06T12:35:01 | INFO     | GPS-C3               | [Publicado] velocidad= 41.9 km/h | nivel=BAJA
2026-04-06T12:35:11 | INFO     | GPS-C3               | [Publicado] velocidad= 24.6 km/h | nivel=NORMAL
2026-04-06T12:35:21 | INFO     | GPS-C3               | [Publicado] velocidad=  8.3 km/h | nivel=ALTA
2026-04-06T12:35:31 | INFO     | GPS-C3               | [Publicado] velocidad= 26.8 km/h | nivel=NORMAL
2026-04-06T12:35:41 | INFO     | GPS-C3               | [Publicado] velocidad= 31.7 km/h | nivel=NORMAL
2026-04-06T12:35:51 | INFO     | GPS-C3               | [Publicado] velocidad= 20.7 km/h | nivel=NORMAL
2026-04-06T12:36:01 | INFO     | GPS-C3               | [Publicado] velocidad= 14.2 km/h | nivel=NORMAL
2026-04-06T12:36:11 | INFO     | GPS-C3               | [Publicado] velocidad= 41.5 km/h | nivel=BAJA
2026-04-06T12:36:21 | INFO     | GPS-C3               | [Publicado] velocidad= 21.5 km/h | nivel=NORMAL
2026-04-06T12:36:31 | INFO     | GPS-C3               | [Publicado] velocidad= 26.5 km/h | nivel=NORMAL
2026-04-06T12:36:41 | INFO     | GPS-C3               | [Publicado] velocidad= 22.2 km/h | nivel=NORMAL
2026-04-06T12:36:51 | INFO     | GPS-C3               | [Publicado] velocidad= 37.4 km/h | nivel=NORMAL
2026-04-06T12:37:01 | INFO     | GPS-C3               | [Publicado] velocidad= 33.2 km/h | nivel=NORMAL
2026-04-06T12:37:11 | INFO     | GPS-C3               | [Publicado] velocidad= 28.8 km/h | nivel=NORMAL
2026-04-06T12:37:21 | INFO     | GPS-C3               | [Publicado] velocidad= 32.5 km/h | nivel=NORMAL
2026-04-06T12:37:31 | INFO     | GPS-C3               | [Publicado] velocidad= 37.0 km/h | nivel=NORMAL
2026-04-06T12:37:41 | INFO     | GPS-C3               | [Publicado] velocidad= 34.1 km/h | nivel=NORMAL
2026-04-06T12:37:51 | INFO     | GPS-C3               | [Publicado] velocidad= 22.7 km/h | nivel=NORMAL
2026-04-06T12:38:01 | INFO     | GPS-C3               | [Publicado] velocidad= 29.1 km/h | nivel=NORMAL
2026-04-06T12:38:11 | INFO     | GPS-C3               | [Publicado] velocidad= 21.0 km/h | nivel=NORMAL
2026-04-06T12:38:21 | INFO     | GPS-C3               | [Publicado] velocidad= 24.0 km/h | nivel=NORMAL
2026-04-06T12:38:31 | INFO     | GPS-C3               | [Publicado] velocidad= 13.1 km/h | nivel=NORMAL
2026-04-06T12:38:41 | INFO     | GPS-C3               | [Publicado] velocidad= 33.6 km/h | nivel=NORMAL
2026-04-06T12:38:51 | INFO     | GPS-C3               | [Publicado] velocidad= 28.4 km/h | nivel=NORMAL
2026-04-06T12:39:01 | INFO     | GPS-C3               | [Publicado] velocidad= 21.0 km/h | nivel=NORMAL
2026-04-06T12:39:11 | INFO     | GPS-C3               | [Publicado] velocidad= 21.7 km/h | nivel=NORMAL
2026-04-06T12:39:21 | INFO     | GPS-C3               | [Publicado] velocidad= 17.1 km/h | nivel=NORMAL
2026-04-06T12:39:31 | INFO     | GPS-C3               | [Publicado] velocidad= 20.9 km/h | nivel=NORMAL
2026-04-06T12:39:41 | INFO     | GPS-C3               | [Publicado] velocidad= 33.6 km/h | nivel=NORMAL
2026-04-06T12:39:51 | INFO     | GPS-C3               | [Publicado] velocidad= 22.6 km/h | nivel=NORMAL
2026-04-06T12:40:01 | INFO     | GPS-C3               | [Publicado] velocidad= 32.6 km/h | nivel=NORMAL
2026-04-06T12:40:11 | INFO     | GPS-C3               | [Publicado] velocidad= 31.9 km/h | nivel=NORMAL
2026-04-06T12:40:21 | INFO     | GPS-C3               | [Publicado] velocidad= 36.6 km/h | nivel=NORMAL
2026-04-06T12:40:31 | INFO     | GPS-C3               | [Publicado] velocidad= 25.6 km/h | nivel=NORMAL
2026-04-06T12:40:41 | INFO     | GPS-C3               | [Publicado] velocidad= 22.6 km/h | nivel=NORMAL
2026-04-06T12:40:51 | INFO     | GPS-C3               | [Publicado] velocidad= 17.8 km/h | nivel=NORMAL
2026-04-06T12:41:01 | INFO     | GPS-C3               | [Publicado] velocidad=  9.0 km/h | nivel=ALTA
2026-04-06T12:41:11 | INFO     | GPS-C3               | [Publicado] velocidad= 23.4 km/h | nivel=NORMAL
2026-04-06T12:41:21 | INFO     | GPS-C3               | [Publicado] velocidad= 38.7 km/h | nivel=NORMAL
2026-04-06T12:41:31 | INFO     | GPS-C3               | [Publicado] velocidad= 22.5 km/h | nivel=NORMAL
