2026-04-06T12:22:10 | INFO     | CAM-B5               | Sensor iniciado | intersección=INT-B5 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 41.1 km/h | semáforo=ROJO
2026-04-06T12:23:35 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 40.8 km/h | semáforo=VERDE
2026-04-06T12:23:40 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 47.9 km/h | semáforo=VERDE
2026-04-06T12:23:45 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 36.1 km/h | semáforo=VERDE
2026-04-06T12:23:50 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 31.2 km/h | semáforo=VERDE
2026-04-06T12:23:55 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 42.6 km/h | semáforo=VERDE
2026-04-06T12:24:00 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 47.1 km/h | semáforo=VERDE
2026-04-06T12:24:05 | INFO     | CAM-B5               | [Publicado] vol= 19 veh | vel= 20.6 km/h | semáforo=ROJO
2026-04-06T12:24:10 | INFO     | CAM-B5               | [Publicado] vol= 20 veh | vel= 19.9 km/h | semáforo=ROJO
2026-04-06T12:24:15 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 23.5 km/h | semáforo=ROJO
2026-04-06T12:24:20 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 42.0 km/h | semáforo=ROJO
2026-04-06T12:24:25 | INFO     | CAM-B5               | [Publicado] vol= 12 veh | vel= 33.3 km/h | semáforo=ROJO
2026-04-06T12:24:30 | INFO     | CAM-B5               | [Publicado] vol= 24 veh | vel= 13.5 km/h | semáforo=ROJO
2026-04-06T12:24:35 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 39.6 km/h | semáforo=VERDE
2026-04-06T12:24:40 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 36.8 km/h | semáforo=VERDE
2026-04-06T12:24:45 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 34.9 km/h | semáforo=VERDE
2026-04-06T12:24:50 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 31.5 km/h | semáforo=VERDE
2026-04-06T12:24:55 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 41.5 km/h | semáforo=VERDE
2026-04-06T12:25:00 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 31.0 km/h | semáforo=VERDE
2026-04-06T12:25:05 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 43.7 km/h | semáforo=ROJO
2026-04-06T12:25:10 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 39.4 km/h | semáforo=ROJO
2026-04-06T12:25:15 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 35.5 km/h | semáforo=ROJO
2026-04-06T12:25:20 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 47.4 km/h | semáforo=ROJO
2026-04-06T12:25:25 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 37.1 km/h | semáforo=ROJO
2026-04-06T12:25:30 | INFO     | CAM-B5               | [Publicado] vol= 14 veh | vel= 31.2 km/h | semáforo=ROJO
2026-04-06T12:25:35 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 33.1 km/h | semáforo=VERDE
2026-04-06T12:25:40 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 49.9 km/h | semáforo=VERDE
2026-04-06T12:25:45 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 45.1 km/h | semáforo=VERDE
2026-04-06T12:25:50 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 49.1 km/h | semáforo=VERDE
2026-04-06T12:25:55 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 32.1 km/h | semáforo=VERDE
2026-04-06T12:26:00 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 44.8 km/h | semáforo=VERDE
2026-04-06T12:26:05 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 35.6 km/h | semáforo=ROJO
2026-04-06T12:26:10 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 43.3 km/h | semáforo=ROJO
2026-04-06T12:26:15 | INFO     | CAM-B5               | [Publicado] vol= 24 veh | vel= 11.7 km/h | semáforo=ROJO
2026-04-06T12:26:20 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 48.5 km/h | semáforo=ROJO
2026-04-06T12:26:25 | INFO     | CAM-B5               | [Publicado] vol= 19 veh | vel= 24.2 km/h | semáforo=ROJO
2026-04-06T12:26:30 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 26.5 km/h | semáforo=ROJO
2026-04-06T12:26:35 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 37.9 km/h | semáforo=VERDE
2026-04-06T12:26:40 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 34.7 km/h | semáforo=VERDE
2026-04-06T12:26:45 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 29.2 km/h | semáforo=VERDE
2026-04-06T12:26:50 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 46.8 km/h | semáforo=VERDE
2026-04-06T12:26:55 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 25.6 km/h | semáforo=VERDE
2026-04-06T12:27:00 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 36.9 km/h | semáforo=VERDE
2026-04-06T12:27:05 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 21.5 km/h | semáforo=ROJO
2026-04-06T12:27:10 | INFO     | CAM-B5               | [Publicado] vol= 21 veh | vel= 15.8 km/h | semáforo=ROJO
2026-04-06T12:27:15 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 45.3 km/h | semáforo=ROJO
2026-04-06T12:27:21 | INFO     | CAM-B5               | [Publicado] vol=  9 veh | vel= 37.7 km/h | semáforo=ROJO
2026-04-06T12:27:26 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 25.0 km/h | semáforo=ROJO
2026-04-06T12:27:31 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 45.0 km/h | semáforo=ROJO
2026-04-06T12:27:36 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 29.0 km/h | semáforo=VERDE
2026-04-06T12:27:41 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 35.9 km/h | semáforo=VERDE
2026-04-06T12:27:46 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 26.8 km/h | semáforo=VERDE
2026-04-06T12:27:51 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 36.8 km/h | semáforo=VERDE
2026-04-06T12:27:56 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 46.2 km/h | semáforo=VERDE
2026-04-06T12:28:01 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 42.6 km/h | semáforo=VERDE
2026-04-06T12:28:06 | INFO     | CAM-B5               | [Publicado] vol= 15 veh | vel= 25.8 km/h | semáforo=ROJO
2026-04-06T12:28:11 | INFO     | CAM-B5               | [Publicado] vol= 14 veh | vel= 31.8 km/h | semáforo=ROJO
2026-04-06T12:28:16 | INFO     | CAM-B5               | [Publicado] vol= 11 veh | vel= 32.2 km/h | semáforo=ROJO
2026-04-06T12:28:21 | INFO     | CAM-B5               | [Publicado] vol= 24 veh | vel= 11.1 km/h | semáforo=ROJO
2026-04-06T12:28:26 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 45.9 km/h | semáforo=ROJO
2026-04-06T12:28:31 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 49.1 km/h | semáforo=ROJO
2026-04-06T12:28:36 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 38.1 km/h | semáforo=VERDE
2026-04-06T12:28:41 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 41.0 km/h | semáforo=VERDE
2026-04-06T12:28:46 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 34.1 km/h | semáforo=VERDE
2026-04-06T12:28:51 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 43.3 km/h | semáforo=VERDE
2026-04-06T12:28:56 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 30.1 km/h | semáforo=VERDE
2026-04-06T12:29:01 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 48.6 km/h | semáforo=VERDE
2026-04-06T12:29:06 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 43.9 km/h | semáforo=ROJO
2026-04-06T12:29:11 | INFO     | CAM-B5               | [Publicado] vol= 20 veh | vel= 18.5 km/h | semáforo=ROJO
2026-04-06T12:29:16 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 48.3 km/h | semáforo=ROJO
2026-04-06T12:29:21 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 36.6 km/h | semáforo=ROJO
2026-04-06T12:29:26 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 41.0 km/h | semáforo=ROJO
2026-04-06T12:29:31 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 34.1 km/h | semáforo=ROJO
2026-04-06T12:29:36 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 32.9 km/h | semáforo=VERDE
2026-04-06T12:29:41 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 43.2 km/h | semáforo=VERDE
2026-04-06T12:29:46 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 45.0 km/h | semáforo=VERDE
2026-04-06T12:29:51 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 48.0 km/h | semáforo=VERDE
2026-04-06T12:29:56 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 33.5 km/h | semáforo=VERDE
2026-04-06T12:30:01 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 28.0 km/h | semáforo=VERDE
2026-04-06T12:30:06 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 40.9 km/h | semáforo=ROJO
2026-04-06T12:30:11 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 51.4 km/h | semáforo=ROJO
2026-04-06T12:30:16 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 43.3 km/h | semáforo=ROJO
2026-04-06T12:30:21 | INFO     | CAM-B5               | [Publicado] vol= 20 veh | vel= 21.2 km/h | semáforo=ROJO
2026-04-06T12:30:26 | INFO     | CAM-B5               | [Publicado] vol= 15 veh | vel= 29.7 km/h | semáforo=ROJO
2026-04-06T12:30:31 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 39.6 km/h | semáforo=ROJO
2026-04-06T12:30:36 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 27.7 km/h | semáforo=VERDE
2026-04-06T12:30:41 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 28.0 km/h | semáforo=VERDE
2026-04-06T12:30:46 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 39.0 km/h | semáforo=VERDE
2026-04-06T12:30:51 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 47.3 km/h | semáforo=VERDE
2026-04-06T12:30:56 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 33.5 km/h | semáforo=VERDE
2026-04-06T12:31:01 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 41.9 km/h | semáforo=VERDE
2026-04-06T12:31:06 | INFO     | CAM-B5               | [Publicado] vol= 24 veh | vel= 15.2 km/h | semáforo=ROJO
2026-04-06T12:31:11 | INFO     | CAM-B5               | [Publicado] vol= 11 veh | vel= 31.1 km/h | semáforo=ROJO
2026-04-06T12:31:16 | INFO     | CAM-B5               | [Publicado] vol= 20 veh | vel= 19.6 km/h | semáforo=ROJO
2026-04-06T12:31:21 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 36.2 km/h | semáforo=ROJO
2026-04-06T12:31:26 | INFO     | CAM-B5               | [Publicado] vol= 22 veh | vel= 15.6 km/h | semáforo=ROJO
2026-04-06T12:31:31 | INFO     | CAM-B5               | [Publicado] vol= 11 veh | vel= 34.9 km/h | semáforo=ROJO
2026-04-06T12:31:36 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 48.9 km/h | semáforo=VERDE
2026-04-06T12:31:41 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 33.1 km/h | semáforo=VERDE
2026-04-06T12:31:46 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 36.7 km/h | semáforo=VERDE
2026-04-06T12:31:51 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 34.9 km/h | semáforo=VERDE
2026-04-06T12:31:56 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 39.4 km/h | semáforo=VERDE
2026-04-06T12:32:01 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 46.8 km/h | semáforo=VERDE
2026-04-06T12:32:06 | INFO     | CAM-B5               | [Publicado] vol= 23 veh | vel= 16.2 km/h | semáforo=ROJO
2026-04-06T12:32:11 | INFO     | CAM-B5               | [Publicado] vol= 14 veh | vel= 30.0 km/h | semáforo=ROJO
2026-04-06T12:32:16 | INFO     | CAM-B5               | [Publicado] vol= 12 veh | vel= 32.8 km/h | semáforo=ROJO
2026-04-06T12:32:21 | INFO     | CAM-B5               | [Publicado] vol= 25 veh | vel= 13.0 km/h | semáforo=ROJO
2026-04-06T12:32:26 | INFO     | CAM-B5               | [Publicado] vol= 18 veh | vel= 24.3 km/h | semáforo=ROJO
2026-04-06T12:32:31 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 46.6 km/h | semáforo=ROJO
2026-04-06T12:32:36 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 45.5 km/h | semáforo=VERDE
2026-04-06T12:32:41 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 26.3 km/h | semáforo=VERDE
2026-04-06T12:32:46 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 45.9 km/h | semáforo=VERDE
2026-04-06T12:32:51 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 34.5 km/h | semáforo=VERDE
2026-04-06T12:32:56 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 44.4 km/h | semáforo=VERDE
2026-04-06T12:33:01 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 38.3 km/h | semáforo=VERDE
2026-04-06T12:33:06 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 34.8 km/h | semáforo=ROJO
2026-04-06T12:33:11 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 26.2 km/h | semáforo=ROJO
2026-04-06T12:33:16 | INFO     | CAM-B5               | [Publicado] vol= 15 veh | vel= 28.2 km/h | semáforo=ROJO
2026-04-06T12:33:21 | INFO     | CAM-B5               | [Publicado] vol= 21 veh | vel= 16.1 km/h | semáforo=ROJO
2026-04-06T12:33:26 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 47.1 km/h | semáforo=ROJO
2026-04-06T12:33:31 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 24.4 km/h | semáforo=ROJO
2026-04-06T12:33:36 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 49.1 km/h | semáforo=VERDE
2026-04-06T12:33:41 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 39.8 km/h | semáforo=VERDE
2026-04-06T12:33:46 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 44.2 km/h | semáforo=VERDE
2026-04-06T12:33:51 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 41.8 km/h | semáforo=VERDE
2026-04-06T12:33:56 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 46.5 km/h | semáforo=VERDE
2026-04-06T12:34:01 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 29.8 km/h | semáforo=VERDE
2026-04-06T12:34:06 | INFO     | CAM-B5               | [Publicado] vol= 24 veh | vel= 13.6 km/h | semáforo=ROJO
2026-04-06T12:34:11 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 39.5 km/h | semáforo=ROJO
2026-04-06T12:34:16 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 25.0 km/h | semáforo=ROJO
2026-04-06T12:34:21 | INFO     | CAM-B5               | [Publicado] vol= 16 veh | vel= 26.9 km/h | semáforo=ROJO
2026-04-06T12:34:26 | INFO     | CAM-B5               | [Publicado] vol= 25 veh | vel= 12.0 km/h | semáforo=ROJO
2026-04-06T12:34:31 | INFO     | CAM-B5               | [Publicado] vol= 12 veh | vel= 29.2 km/h | semáforo=ROJO
2026-04-06T12:34:36 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 48.6 km/h | semáforo=VERDE
2026-04-06T12:34:41 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 33.6 km/h | semáforo=VERDE
2026-04-06T12:34:46 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 29.7 km/h | semáforo=VERDE
2026-04-06T12:34:51 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 25.8 km/h | semáforo=VERDE
2026-04-06T12:34:56 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 47.1 km/h | semáforo=VERDE
2026-04-06T12:35:01 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 25.8 km/h | semáforo=VERDE
2026-04-06T12:35:06 | INFO     | CAM-B5               | [Publicado] vol= 22 veh | vel= 14.1 km/h | semáforo=ROJO
2026-04-06T12:35:11 | INFO     | CAM-B5               | [Publicado] vol=  9 veh | vel= 35.3 km/h | semáforo=ROJO
2026-04-06T12:35:16 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 35.6 km/h | semáforo=ROJO
2026-04-06T12:35:21 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 48.4 km/h | semáforo=ROJO
2026-04-06T12:35:26 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 46.3 km/h | semáforo=ROJO
2026-04-06T12:35:31 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 38.7 km/h | semáforo=ROJO
2026-04-06T12:35:36 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 43.2 km/h | semáforo=VERDE
2026-04-06T12:35:41 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 45.4 km/h | semáforo=VERDE
2026-04-06T12:35:46 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 47.8 km/h | semáforo=VERDE
2026-04-06T12:35:51 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 30.8 km/h | semáforo=VERDE
2026-04-06T12:35:56 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 37.2 km/h | semáforo=VERDE
2026-04-06T12:36:01 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 25.5 km/h | semáforo=VERDE
2026-04-06T12:36:06 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 25.1 km/h | semáforo=ROJO
2026-04-06T12:36:11 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 50.8 km/h | semáforo=ROJO
2026-04-06T12:36:16 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 46.0 km/h | semáforo=ROJO
2026-04-06T12:36:21 | INFO     | CAM-B5               | [Publicado] vol= 14 veh | vel= 30.5 km/h | semáforo=ROJO
2026-04-06T12:36:26 | INFO     | CAM-B5               | [Publicado] vol= 25 veh | vel= 13.0 km/h | semáforo=ROJO
2026-04-06T12:36:31 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 36.8 km/h | semáforo=ROJO
2026-04-06T12:36:36 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 43.4 km/h | semáforo=VERDE
2026-04-06T12:36:41 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 25.5 km/h | semáforo=VERDE
2026-04-06T12:36:46 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 28.0 km/h | semáforo=VERDE
2026-04-06T12:36:51 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 25.1 km/h | semáforo=VERDE
2026-04-06T12:36:56 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 33.7 km/h | semáforo=VERDE
2026-04-06T12:37:01 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 41.7 km/h | semáforo=VERDE
2026-04-06T12:37:06 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 47.6 km/h | semáforo=ROJO
2026-04-06T12:37:11 | INFO     | CAM-B5               | [Publicado] vol= 18 veh | vel= 24.1 km/h | semáforo=ROJO
2026-04-06T12:37:16 | INFO     | CAM-B5               | [Publicado] vol= 19 veh | vel= 19.2 km/h | semáforo=ROJO
2026-04-06T12:37:21 | INFO     | CAM-B5               | [Publicado] vol= 11 veh | vel= 32.2 km/h | semáforo=ROJO
2026-04-06T12:37:26 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 46.2 km/h | semáforo=ROJO
2026-04-06T12:37:31 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 41.2 km/h | semáforo=ROJO
2026-04-06T12:37:36 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 48.3 km/h | semáforo=VERDE
2026-04-06T12:37:41 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 45.5 km/h | semáforo=VERDE
2026-04-06T12:37:46 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 37.5 km/h | semáforo=VERDE
2026-04-06T12:37:51 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 47.3 km/h | semáforo=VERDE
2026-04-06T12:37:56 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 47.1 km/h | semáforo=VERDE
2026-04-06T12:38:01 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 36.8 km/h | semáforo=VERDE
2026-04-06T12:38:06 | INFO     | CAM-B5               | [Publicado] vol= 15 veh | vel= 28.0 km/h | semáforo=ROJO
2026-04-06T12:38:11 | INFO     | CAM-B5               | [Publicado] vol= 24 veh | vel= 15.1 km/h | semáforo=ROJO
2026-04-06T12:38:16 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 25.8 km/h | semáforo=ROJO
2026-04-06T12:38:21 | INFO     | CAM-B5               | [Publicado] vol= 18 veh | vel= 21.8 km/h | semáforo=ROJO
2026-04-06T12:38:26 | INFO     | CAM-B5               | [Publicado] vol= 20 veh | vel= 17.0 km/h | semáforo=ROJO
2026-04-06T12:38:31 | INFO     | CAM-B5               | [Publicado] vol= 13 veh | vel= 28.7 km/h | semáforo=ROJO
2026-04-06T12:38:36 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 29.6 km/h | semáforo=VERDE
2026-04-06T12:38:41 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 33.0 km/h | semáforo=VERDE
2026-04-06T12:38:46 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 32.0 km/h | semáforo=VERDE
2026-04-06T12:38:51 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 43.3 km/h | semáforo=VERDE
2026-04-06T12:38:56 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 36.3 km/h | semáforo=VERDE
2026-04-06T12:39:01 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 33.2 km/h | semáforo=VERDE
2026-04-06T12:39:06 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 36.4 km/h | semáforo=ROJO
2026-04-06T12:39:11 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 32.3 km/h | semáforo=ROJO
2026-04-06T12:39:16 | INFO     | CAM-B5               | [Publicado] vol= 14 veh | vel= 31.1 km/h | semáforo=ROJO
2026-04-06T12:39:21 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 37.2 km/h | semáforo=ROJO
2026-04-06T12:39:26 | INFO     | CAM-B5               | [Publicado] vol=  7 veh | vel= 40.3 km/h | semáforo=ROJO
2026-04-06T12:39:31 | INFO     | CAM-B5               | [Publicado] vol= 12 veh | vel= 29.6 km/h | semáforo=ROJO
2026-04-06T12:39:36 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 40.0 km/h | semáforo=VERDE
2026-04-06T12:39:41 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 32.1 km/h | semáforo=VERDE
2026-04-06T12:39:46 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 32.1 km/h | semáforo=VERDE
2026-04-06T12:39:51 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 40.8 km/h | semáforo=VERDE
2026-04-06T12:39:56 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 48.6 km/h | semáforo=VERDE
2026-04-06T12:40:01 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 28.2 km/h | semáforo=VERDE
