2026-04-06T12:22:10 | INFO     | GPS-A2               | Sensor iniciado | intersección=INT-A2 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-A2               | [Publicado] velocidad= 30.2 km/h | nivel=NORMAL
2026-04-06T12:29:40 | INFO     | GPS-A2               | [Publicado] velocidad= 46.6 km/h | nivel=BAJA
2026-04-06T12:29:50 | INFO     | GPS-A2               | [Publicado] velocidad= 44.6 km/h | nivel=BAJA
2026-04-06T12:30:00 | INFO     | GPS-A2               | [Publicado] velocidad= 24.6 km/h | nivel=NORMAL
2026-04-06T12:30:10 | INFO     | GPS-A2               | [Publicado] velocidad= 27.2 km/h | nivel=NORMAL
2026-04-06T12:30:20 | INFO     | GPS-A2               | [Publicado] velocidad= 19.1 km/h | nivel=NORMAL
2026-04-06T12:30:30 | INFO     | GPS-A2               | [Publicado] velocidad= 21.3 km/h | nivel=NORMAL
2026-04-06T12:30:40 | INFO     | GPS-A2               | [Publicado] velocidad= 13.6 km/h | nivel=NORMAL
2026-04-06T12:30:50 | INFO     | GPS-A2               | [Publicado] velocidad= 24.8 km/h | nivel=NORMAL
2026-04-06T12:31:00 | INFO     | GPS-A2               | [Publicado] velocidad= 20.2 km/h | nivel=NORMAL
2026-04-06T12:31:10 | INFO     | GPS-A2               | [Publicado] velocidad= 37.6 km/h | nivel=NORMAL
2026-04-06T12:31:20 | INFO     | GPS-A2               | [Publicado] velocidad= 45.9 km/h | nivel=BAJA
2026-04-06T12:31:30 | INFO     | GPS-A2               | [Publicado] velocidad= 14.5 km/h | nivel=NORMAL
2026-04-06T12:31:40 | INFO     | GPS-A2               | [Publicado] velocidad= 25.7 km/h | nivel=NORMAL
2026-04-06T12:31:50 | INFO     | GPS-A2               | [Publicado] velocidad= 24.8 km/h | nivel=NORMAL
2026-04-06T12:32:00 | INFO     | GPS-A2               | [Publicado] velocidad= 30.9 km/h | nivel=NORMAL
2026-04-06T12:32:10 | INFO     | GPS-A2               | [Publicado] velocidad= 43.3 km/h | nivel=BAJA
2026-04-06T12:32:21 | INFO     | GPS-A2               | [Publicado] velocidad= 45.1 km/h | nivel=BAJA
2026-04-06T12:32:31 | INFO     | GPS-A2               | [Publicado] velocidad= 39.9 km/h | nivel=BAJA
2026-04-06T12:32:41 | INFO     | GPS-A2               | [Publicado] velocidad= 38.0 km/h | nivel=NORMAL
2026-04-06T12:32:51 | INFO     | GPS-A2               | [Publicado] velocidad= 22.1 km/h | nivel=NORMAL
2026-04-06T12:33:01 | INFO     | GPS-A2               | [Publicado] velocidad= 45.3 km/h | nivel=BAJA
2026-04-06T12:33:11 | INFO     | GPS-A2               | [Publicado] velocidad= 21.3 km/h | nivel=NORMAL
2026-04-06T12:33:21 | INFO     | GPS-A2               | [Publicado] velocidad= 20.7 km/h | nivel=NORMAL
2026-04-06T12:33:31 | INFO     | GPS-A2               | [Publicado] velocidad= 33.8 km/h | nivel=NORMAL
2026-04-06T12:33:41 | INFO     | GPS-A2               | [Publicado] velocidad= 24.0 km/h | nivel=NORMAL
2026-04-06T12:33:51 | INFO     | GPS-A2               | [Publicado] velocidad= 24.4 km/h | nivel=NORMAL
2026-04-06T12:34:01 | INFO     | GPS-A2               | [Publicado] velocidad= 32.5 km/h | nivel=NORMAL
2026-04-06T12:34:11 | INFO     | GPS-A2               | [Publicado] velocidad= 30.7 km/h | nivel=NORMAL
2026-04-06T12:34:21 | INFO     | GPS-A2               | [Publicado] velocidad= 42.5 km/h | nivel=BAJA
2026-04-06T12:34:31 | INFO     | GPS-A2               | [Publicado] velocidad= 12.5 km/h | nivel=NORMAL
2026-04-06T12:34:41 | INFO     | GPS-A2               | [Publicado] velocidad= 34.9 km/h | nivel=NORMAL
2026-04-06T12:34:51 | INFO     | GPS-A2               | [Publicado] velocidad= 20.2 km/h | nivel=NORMAL
2026-04-06T12:35:01 | INFO     | GPS-A2               | [Publicado] velocidad= 23.2 km/h | nivel=NORMAL
2026-04-06T12:35:11 | INFO     | GPS-A2               | [Publicado] velocidad= 26.6 km/h | nivel=NORMAL
2026-04-06T12:35:21 | INFO     | GPS-A2               | [Publicado] velocidad= 41.9 km/h | nivel=BAJA
2026-04-06T12:35:31 | INFO     | GPS-A2               | [Publicado] velocidad= 30.4 km/h | nivel=NORMAL
2026-04-06T12:35:41 | INFO     | GPS-A2               | [Publicado] velocidad= 42.0 km/h | nivel=BAJA
2026-04-06T12:35:51 | INFO     | GPS-A2               | [Publicado] velocidad= 23.6 km/h | nivel=NORMAL
2026-04-06T12:36:01 | INFO     | GPS-A2               | [Publicado] velocidad= 28.4 km/h | nivel=NORMAL
2026-04-06T12:36:11 | INFO     | GPS-A2               | [Publicado] velocidad= 22.0 km/h | nivel=NORMAL
2026-04-06T12:36:21 | INFO     | GPS-A2               | [Publicado] velocidad= 14.0 km/h | nivel=NORMAL
2026-04-06T12:36:31 | INFO     | GPS-A2               | [Publicado] velocidad= 46.3 km/h | nivel=BAJA
2026-04-06T12:36:41 | INFO     | GPS-A2               | [Publicado] velocidad= 28.5 km/h | nivel=NORMAL
2026-04-06T12:36:51 | INFO     | GPS-A2               | [Publicado] velocidad= 33.4 km/h | nivel=NORMAL
2026-04-06T12:37:01 | INFO     | GPS-A2               | [Publicado] velocidad= 40.6 km/h | nivel=BAJA
2026-04-06T12:37:11 | INFO     | GPS-A2               | [Publicado] velocidad= 24.9 km/h | nivel=NORMAL
2026-04-06T12:37:21 | INFO     | GPS-A2               | [Publicado] velocidad= 41.7 km/h | nivel=BAJA
2026-04-06T12:37:31 | INFO     | GPS-A2               | [Publicado] velocidad= 30.0 km/h | nivel=NORMAL
2026-04-06T12:37:41 | INFO     | GPS-A2               | [Publicado] velocidad= 15.1 km/h | nivel=NORMAL
2026-04-06T12:37:51 | INFO     | GPS-A2               | [Publicado] velocidad= 21.4 km/h | nivel=NORMAL
2026-04-06T12:38:01 | INFO     | GPS-A2               | [Publicado] velocidad= 30.9 km/h | nivel=NORMAL
2026-04-06T12:38:11 | INFO     | GPS-A2               | [Publicado] velocidad= 17.4 km/h | nivel=NORMAL
2026-04-06T12:38:21 | INFO     | GPS-A2               | [Publicado] velocidad= 43.8 km/h | nivel=BAJA
2026-04-06T12:38:31 | INFO     | GPS-A2               | [Publicado] velocidad= 11.7 km/h | nivel=NORMAL
2026-04-06T12:38:41 | INFO     | GPS-A2               | [Publicado] velocidad= 42.8 km/h | nivel=BAJA
2026-04-06T12:38:51 | INFO     | GPS-A2               | [Publicado] velocidad= 34.5 km/h | nivel=NORMAL
2026-04-06T12:39:01 | INFO     | GPS-A2               | [Publicado] velocidad= 20.3 km/h | nivel=NORMAL
2026-04-06T12:39:11 | INFO     | GPS-A2               | [Publicado] velocidad= 20.9 km/h | nivel=NORMAL
2026-04-06T12:39:21 | INFO     | GPS-A2               | [Publicado] velocidad= 18.6 km/h | nivel=NORMAL
2026-04-06T12:39:31 | INFO     | GPS-A2               | [Publicado] velocidad= 20.3 km/h | nivel=NORMAL
2026-04-06T12:39:41 | INFO     | GPS-A2               | [Publicado] velocidad= 31.4 km/h | nivel=NORMAL
2026-04-06T12:39:51 | INFO     | GPS-A2               | [Publicado] velocidad= 41.8 km/h | nivel=BAJA
2026-04-06T12:40:01 | INFO     | GPS-A2               | [Publicado] velocidad= 19.8 km/h | nivel=NORMAL
2026-04-06T12:40:11 | INFO     | GPS-A2               | [Publicado] velocidad= 10.6 km/h | nivel=NORMAL
2026-04-06T12:40:21 | INFO     | GPS-A2               | [Publicado] velocidad= 24.6 km/h | nivel=NORMAL
2026-04-06T12:40:31 | INFO     | GPS-A2               | [Publicado] velocidad= 10.4 km/h | nivel=NORMAL
2026-04-06T12:40:41 | INFO     | GPS-A2               | [Publicado] velocidad= 30.4 km/h | nivel=NORMAL
2026-04-06T12:40:51 | INFO     | GPS-A2               | [Publicado] velocidad= 49.1 km/h | nivel=BAJA
2026-04-06T12:41:01 | INFO     | GPS-A2               | [Publicado] velocidad= 18.7 km/h | nivel=NORMAL
2026-04-06T12:41:11 | INFO     | GPS-A2               | [Publicado] velocidad= 26.6 km/h | nivel=NORMAL
2026-04-06T12:41:21 | INFO     | GPS-A2               | [Publicado] velocidad= 35.5 km/h | nivel=NORMAL
2026-04-06T12:41:31 | INFO     | GPS-A2               | [Publicado] velocidad= 26.3 km/h | nivel=NORMAL
